english_name,chinese_name,bilingual_name
file_id,文件编号,文件编号 / file_id
original_path,原始音频路径,原始音频路径 / original_path
wav_path,标准化WAV路径,标准化WAV路径 / wav_path
status,处理状态,处理状态 / status
opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_amean
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2
opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope
opensmile_loudness_sma3_amean,响度相关指标,响度相关指标 / opensmile_loudness_sma3_amean
opensmile_loudness_sma3_stddevNorm,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevNorm
opensmile_loudness_sma3_percentile20.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile20.0
opensmile_loudness_sma3_percentile50.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile50.0
opensmile_loudness_sma3_percentile80.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile80.0
opensmile_loudness_sma3_pctlrange0-2,响度相关指标,响度相关指标 / opensmile_loudness_sma3_pctlrange0-2
opensmile_loudness_sma3_meanRisingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_meanRisingSlope
opensmile_loudness_sma3_stddevRisingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevRisingSlope
opensmile_loudness_sma3_meanFallingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_meanFallingSlope
opensmile_loudness_sma3_stddevFallingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevFallingSlope
opensmile_spectralFlux_sma3_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFlux_sma3_amean
opensmile_spectralFlux_sma3_stddevNorm,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFlux_sma3_stddevNorm
opensmile_mfcc1_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_amean
